Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation
2000,1,1,6.35,76.69,11.36,0.86
2000,2,1,8.12,84.75,13.76,0.33
2000,3,1,7.63,75.75,14.55,0.82
2000,4,1,7.93,79.62,14.04,5.22
2000,5,1,9.77,81.81,16.96,1.53
2000,6,1,10.62,77.06,19.47,0.05
2000,7,1,11.29,78.19,20.19,0.21
2000,8,1,11.35,76.56,20.7,0.11
2000,9,1,11.35,80.31,19.76,0.43
2000,10,1,9.89,81.31,17.32,1.25
2000,11,1,8.67,80.31,15.22,4.18
2000,12,1,8.85,83,15.05,7.46
2001,1,1,8.06,82.25,13.77,4.68
2001,2,1,7.75,83.19,13.23,2.05
2001,3,1,9.03,86.5,14.77,3.41
2001,4,1,8.3,80.25,14.86,0.44
2001,5,1,9.34,82.69,16.05,1.21
2001,6,1,10.74,82,18.59,0.39
2001,7,1,11.29,82.44,19.29,0.1
2001,8,1,12.33,84.75,20.18,0.08
2001,9,1,11.47,80.62,19.86,1.11
2001,10,1,11.23,84.5,18.6,3.73
2001,11,1,7.63,77.25,13.94,0.7
2001,12,1,7.26,82.56,12.15,1.44
2002,1,1,7.93,82.56,13.72,1.53
2002,2,1,7.63,80.69,13.48,0.63
2002,3,1,8.06,79.56,14.41,2.4
2002,4,1,8.06,77.31,14.89,1.37
2002,5,1,8.67,78.38,15.87,0.53
2002,6,1,10.01,80.88,17.69,0.26
2002,7,1,10.5,79,18.94,0.05
2002,8,1,11.29,82.25,19.37,0.06
2002,9,1,12.33,88.31,19.39,3.36
2002,10,1,11.41,83.62,19.07,2.56
2002,11,1,9.34,81.75,16.19,5.11
2002,12,1,8.85,84.06,14.86,3.93
2003,1,1,7.02,77.19,12.48,2.77
2003,2,1,7.39,82.69,12.45,3.57
2003,3,1,8.3,84.19,14.07,2.18
2003,4,1,8.48,81.38,14.87,3.05
2003,5,1,9.16,78.38,16.8,0.57
2003,6,1,11.29,82.75,19.18,0.68
2003,7,1,11.54,81.31,19.89,0.47
2003,8,1,13.12,81.88,21.84,0.79
2003,9,1,11.9,79.88,20.69,1.31
2003,10,1,10.13,79.44,17.98,5.08
2003,11,1,8.97,82.5,15.48,3.22
2003,12,1,7.63,82.5,13,2.76
2004,1,1,8.24,86.38,13.44,2.35
2004,2,1,7.63,82.62,13.02,1.44
2004,3,1,7.39,79.31,13.13,1.65
2004,4,1,7.81,77.06,14.45,0.72
2004,5,1,9.03,79.69,16.24,0.56
2004,6,1,11.66,82.12,19.87,0.04
2004,7,1,11.41,79.12,20.16,0.02
2004,8,1,12.7,81.62,21.3,0.62
2004,9,1,11.6,80.5,20.14,0.48
2004,10,1,10.25,81.56,17.8,3.64
2004,11,1,8.18,79.75,14.64,1.2
2004,12,1,7.2,79.56,12.8,0.61
2005,1,1,6.59,78.5,11.65,0.03
2005,2,1,5.92,74.25,10.86,0.61
2005,3,1,7.69,79.56,13.43,1.22
2005,4,1,8.3,79.12,15.02,0.59
2005,5,1,9.4,78.31,17.12,0.7
2005,6,1,11.05,78,19.88,0.02
2005,7,1,11.72,79.62,20.4,0.1
2005,8,1,11.96,76.44,21.53,0.08
2005,9,1,10.99,77.19,20.01,0.16
2005,10,1,10.56,78.75,18.82,3.33
2005,11,1,8.3,78.38,15.06,3.92
2005,12,1,7.45,80.25,13.06,1.64
2006,1,1,6.65,78.94,11.58,1.6
2006,2,1,6.77,78.12,12.05,2.04
2006,3,1,8.24,85.25,13.69,3.09
2006,4,1,8.85,81.12,15.62,1.23
2006,5,1,9.46,77.19,17.54,0.03
2006,6,1,11.35,80.25,19.74,0.9
2006,7,1,12.21,79.44,21.19,0.12
2006,8,1,11.96,77.31,21.31,0.37
2006,9,1,12.15,82.62,20.41,1.55
2006,10,1,11.9,83.75,19.64,5.12
2006,11,1,10.38,82.88,17.6,5.75
2006,12,1,7.32,78.81,13.07,1.57
2007,1,1,7.2,82.75,12.2,0.83
2007,2,1,8.18,83.75,13.72,2.64
2007,3,1,7.45,77.62,13.69,0.5
2007,4,1,8.24,79.19,14.8,1.67
2007,5,1,9.09,80.62,16.17,1.16
2007,6,1,10.5,82.25,18.05,1
2007,7,1,11.11,79.88,19.56,0.11
2007,8,1,10.99,77.62,19.8,0.17
2007,9,1,11.66,81.38,19.96,1.09
2007,10,1,10.19,79.44,18.21,0.45
